iter	RMSE
0	7.713067301
1	7.698181003
2	7.676649945
3	7.649559931
4	7.635823209
5	7.6300423
6	7.616388044
7	7.599987114
8	7.58931417
9	7.583219106
10	7.562482172
11	7.547022453
12	7.528871343
13	7.513937579
14	7.500163736
15	7.485327477
16	7.469502442
17	7.453262902
18	7.447460617
19	7.437308704
20	7.421393164
21	7.411522136
22	7.398587906
23	7.383813371
24	7.378089559
25	7.364710585
26	7.360531679
27	7.347954517
28	7.339074957
29	7.336332164
30	7.326703979
31	7.316378454
32	7.302345279
33	7.289357242
34	7.276140323
35	7.268172319
36	7.260496634
37	7.253667135
38	7.247348671
39	7.237653875
40	7.221340357
41	7.218683264
42	7.212885139
43	7.204427873
44	7.204315968
45	7.194730405
46	7.189765429
47	7.181409637
48	7.168611433
49	7.162739584
50	7.162275344
51	7.162275093
52	7.150556181
53	7.138855153
54	7.130498256
55	7.12021451
56	7.114820885
57	7.106176351
58	7.097190619
59	7.08942591
60	7.078344828
61	7.074415785
62	7.064956831
63	7.053768792
64	7.041940869
65	7.038199875
66	7.02649563
67	7.017899907
68	7.009811695
69	7.005424079
70	6.995326426
71	6.986546685
72	6.978542607
73	6.973452894
74	6.963206759
75	6.953339131
76	6.940502084
77	6.933620607
78	6.930855213
79	6.924072464
80	6.915773411
81	6.912370147
82	6.906795972
83	6.901547272
84	6.896081279
85	6.887754399
86	6.882423665
87	6.874682108
88	6.866759269
89	6.858022122
90	6.851042065
91	6.845489632
92	6.838435959
93	6.82692557
94	6.819723301
95	6.812750027
96	6.806333746
97	6.797563408
98	6.787353368
99	6.779132896
