iter	Passed	Remaining
0	2	218
1	3	194
2	5	179
3	7	168
4	8	163
5	9	152
6	11	159
7	13	159
8	15	158
9	17	155
10	18	152
11	20	149
12	21	146
13	23	143
14	25	142
15	27	144
16	29	143
17	30	140
18	31	136
19	33	134
20	35	131
21	36	129
22	38	127
23	40	127
24	42	126
25	44	126
26	45	123
27	47	121
28	48	119
29	50	117
30	51	115
31	53	113
32	55	111
33	56	109
34	58	109
35	60	107
36	61	105
37	63	103
38	64	101
39	66	100
40	68	98
41	70	97
42	73	96
43	74	95
44	75	92
45	76	90
46	78	88
47	80	86
48	81	85
49	83	83
50	85	81
51	85	79
52	88	78
53	90	76
54	91	75
55	93	73
56	94	71
57	96	69
58	97	68
59	99	66
60	101	64
61	103	63
62	104	61
63	106	59
64	108	58
65	110	56
66	111	54
67	113	53
68	115	52
69	117	50
70	119	48
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	129	38
77	132	37
78	135	36
79	137	34
80	140	32
81	142	31
82	144	29
83	149	28
84	152	26
85	154	25
86	156	23
87	158	21
88	160	19
89	164	18
90	165	16
91	167	14
92	173	13
93	181	11
94	185	9
95	187	7
96	189	5
97	195	3
98	201	2
99	203	0
